"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"8","1.89","REACTOME_PATHWAY","Gap junction trafficking","4","179","52","11610","1.48","4.53e-2","7.30e-1","4.99","1.00e+0","7.16e-1","8.32e-3","TUBA1A,TUBB3,TUBA4A,DNM1","R-HSA-190828~Gap junction trafficking"
"8","1.89","REACTOME_PATHWAY","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","3","179","23","11610","1.11","4.79e-2","7.44e-1","8.46","1.00e+0","7.30e-1","5.09e-3","TUBA1A,TUBB3,TUBA4A","R-HSA-190840~Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane"
"8","1.89","REACTOME_PATHWAY","Gap junction trafficking and regulation","4","179","54","11610","1.48","4.97e-2","7.59e-1","4.80","1.00e+0","7.44e-1","9.49e-3","TUBA1A,TUBB3,TUBA4A,DNM1","R-HSA-157858~Gap junction trafficking and regulation"
"9","1.82","WIKIPATHWAYS","Neural crest cell migration during development","5","160","40","9015","1.85","5.20e-3","2.05e-1","7.04","9.15e-1","2.00e-1","6.59e-4","JUN,PIK3R3,EPHB2,PAK3,EPHB3","WP4564:Neural crest cell migration during development"
"9","1.82","WIKIPATHWAYS","Neural crest cell migration in cancer","5","160","43","9015","1.85","6.74e-3","2.28e-1","6.55","9.59e-1","2.22e-1","9.24e-4","JUN,PIK3R3,EPHB2,PAK3,EPHB3","WP4565:Neural crest cell migration in cancer"
"9","1.82","GOTERM_BP_DIRECT","dendritic spine morphogenesis","3","256","18","19172","1.11","2.34e-2","5.25e-1","12.48","1.00e+0","5.21e-1","1.66e-3","EPHB2,PAK3,EPHB3","GO:0060997~dendritic spine morphogenesis"
"9","1.82","GOTERM_BP_DIRECT","ephrin receptor signaling pathway","4","256","51","19172","1.48","3.03e-2","5.89e-1","5.87","1.00e+0","5.83e-1","4.74e-3","EPHA5,EPHB2,PAK3,EPHB3","GO:0048013~ephrin receptor signaling pathway"
"9","1.82","REACTOME_PATHWAY","Ephrin signaling","3","179","19","11610","1.11","3.37e-2","5.87e-1","10.24","1.00e+0","5.76e-1","2.91e-3","EPHB2,PAK3,EPHB3","R-HSA-3928664~Ephrin signaling"
"10","1.56","KEGG_PATHWAY","Rheumatoid arthritis","6","150","95","9375","2.21","1.75e-2","1.91e-1","3.95","9.91e-1","1.65e-1","4.10e-3","TGFB2,JUN,CXCL12,ACP5,TNFSF13B,VEGFA","hsa05323:Rheumatoid arthritis"
"10","1.56","KEGG_PATHWAY","Renal cell carcinoma","5","150","70","9375","1.85","2.50e-2","1.98e-1","4.46","9.99e-1","1.72e-1","5.15e-3","TGFB2,JUN,PIK3R3,PAK3,VEGFA","hsa05211:Renal cell carcinoma"
"10","1.56","GOTERM_BP_DIRECT","outflow tract morphogenesis","4","256","61","19172","1.48","4.76e-2","7.36e-1","4.91","1.00e+0","7.30e-1","8.94e-3","TGFB2,JUN,SFRP2,VEGFA","GO:0003151~outflow tract morphogenesis"

