"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"1","2.62","KEGG_PATHWAY","Protein digestion and absorption","6","181","103","9375","1.76","4.80e-2","5.08e-1","3.02","1.00e+0","5.01e-1","1.46e-2","COL4A1,COL11A1,COL4A4,COL7A1,COL4A3,SLC38A2","hsa04974:Protein digestion and absorption"
"1","2.62","KEGG_PATHWAY","Amoebiasis","6","181","103","9375","1.76","4.80e-2","5.08e-1","3.02","1.00e+0","5.01e-1","1.46e-2","LAMA2,COL4A1,COL4A4,COL4A3,LAMA3,PIK3R1","hsa05146:Amoebiasis"
"2","2.43","GOTERM_BP_DIRECT","negative regulation of growth","5","315","19","19172","1.47","2.25e-4","1.48e-1","16.02","3.59e-1","1.48e-1","1.12e-5","MT2A,MT1M,MT1X,ALOX15B,MT1E","GO:0045926~negative regulation of growth"
"2","2.43","REACTOME_PATHWAY","Metallothioneins bind metals","4","222","11","11610","1.17","1.00e-3","1.10e-1","19.02","5.86e-1","1.10e-1","3.86e-5","MT2A,MT1M,MT1X,MT1E","R-HSA-5661231~Metallothioneins bind metals"
"2","2.43","KEGG_PATHWAY","Mineral absorption","7","181","61","9375","2.05","1.07e-3","7.06e-2","5.94","2.46e-1","6.96e-2","1.61e-4","MT2A,TRPV6,MT1M,MT1X,STEAP1,STEAP2,MT1E","hsa04978:Mineral absorption"
"2","2.43","GOTERM_BP_DIRECT","detoxification of copper ion","4","315","16","19172","1.17","2.08e-3","3.85e-1","15.22","9.84e-1","3.85e-1","1.11e-4","MT2A,MT1M,MT1X,MT1E","GO:0010273~detoxification of copper ion"
"2","2.43","REACTOME_PATHWAY","Response to metal ions","4","222","14","11610","1.17","2.12e-3","2.07e-1","14.94","8.45e-1","2.06e-1","1.12e-4","MT2A,MT1M,MT1X,MT1E","R-HSA-5660526~Response to metal ions"
"2","2.43","GOTERM_BP_DIRECT","cellular response to cadmium ion","4","315","23","19172","1.17","6.04e-3","7.02e-1","10.58","1.00e+0","7.02e-1","4.95e-4","MT2A,MT1M,MT1X,MT1E","GO:0071276~cellular response to cadmium ion"
"2","2.43","GOTERM_BP_DIRECT","cellular response to zinc ion","4","315","25","19172","1.17","7.66e-3","7.18e-1","9.74","1.00e+0","7.17e-1","6.89e-4","MT2A,MT1M,MT1X,MT1E","GO:0071294~cellular response to zinc ion"
"2","2.43","GOTERM_BP_DIRECT","cellular response to copper ion","4","315","27","19172","1.17","9.51e-3","7.52e-1","9.02","1.00e+0","7.51e-1","9.31e-4","MT2A,MT1M,MT1X,MT1E","GO:0071280~cellular response to copper ion"
"2","2.43","GOTERM_BP_DIRECT","intracellular zinc ion homeostasis","4","315","36","19172","1.17","2.09e-2","1.00e+0","6.76","1.00e+0","1.00e+0","2.78e-3","MT2A,MT1M,MT1X,MT1E","GO:0006882~intracellular zinc ion homeostasis"
"2","2.43","WIKIPATHWAYS","Zinc homeostasis","4","204","36","9015","1.17","4.66e-2","7.53e-1","4.91","1.00e+0","7.53e-1","8.51e-3","MT2A,MT1M,MT1X,MT1E","WP3529:Zinc homeostasis"
"3","1.76","WIKIPATHWAYS","White fat cell differentiation","5","204","32","9015","1.47","5.48e-3","3.55e-1","6.90","9.16e-1","3.55e-1","6.92e-4","KLF5,CEBPD,IRF4,KLF15,FOXO1","WP4149:White fat cell differentiation"
"3","1.76","WIKIPATHWAYS","Adipogenesis","8","204","131","9015","2.35","2.84e-2","6.43e-1","2.70","1.00e+0","6.43e-1","9.66e-3","KLF5,GADD45B,CEBPD,FRZB,LEP,IRS2,KLF15,FOXO1","WP236:Adipogenesis"
"3","1.76","WIKIPATHWAYS","Transcriptional cascade regulating adipogenesis","3","204","13","9015","0.88","3.34e-2","6.76e-1","10.20","1.00e+0","6.76e-1","2.76e-3","KLF5,CEBPD,KLF15","WP4211:Transcriptional cascade regulating adipogenesis"

